name;level;type;ritual;casting_time;casting_time_comment;range;components;components_comment;duration;duration_comment;discription
GustofWind;2;evocation;-;1 action;-;self;V,S,M;a legu m e seed;1 minutes;-;A line of stron g w in d 60 feet lon g and 10 feet wideA line of stron g w in d 60 feet lon g and 10 feet wideblasts from you in a direction you ch oose for the spellsduration. E ach creatu re that starts its turn in the linem ust su cceed on a Stren gth saving th row or be pu sh ed15 feet away from you in a direction followin g the line.An y crea tu re in the line m ust spen d 2 feet ofm ovem en t for every 1 foot it m oves wh en m ovin gcloser to you.Th e gust disper ses gas or vapor, and it extin gu ish esca n dles, torches, and sim ilar u n protected fla m es inthe area. It ca u ses protected flam es, su ch as th ose oflanterns, to da n ce wildly and has a 50 percen t ch a n ce toextin gu ish them .As a bon u s action on each of your turns before thespell ends, you can ch a n ge the direction in wh ich theline blasts from you.
DestructiveWave;5;evocation;-;1 action;-;self;V;-;instant;-;You strike the ground, crea tin g a burst of divineYou strike the ground, crea tin g a burst of divineen ergy that ripples ou tward from you. E a ch creatureyou ch oose within 30 feet of you m ust su cceed on aConstitution saving th row or take 5d6 thunder dam age,as well as 5d6 radiant or n ecrotic da m age (you r choice),and be k n ock ed prone. A creatu re that su cceeds onits saving th row takes h a lf as m u ch da m age and isntkn ock ed prone.
Resurrection;7;necromancy;-;1 hour;-;touch;V,S,M;a dia m on d worth at least 1,000gp, w h ich the spell con su m es;instant;-;You tou ch a dead creatu re that has been dead for noYou tou ch a dead creatu re that has been dead for nom ore than a century, that didn t die of old age, and thatisn t undead. If its sou l is free and willing, the targetretu rn s to life with all its hit points.Th is spell n eu tra lizes any p oison s and cu res norm aldisea ses afflicting the creatu re wh en it died. It d oesn t,however, rem ove m a gica l disea ses, cu rses, and the likeif su ch effects arent rem oved prior to ca stin g the spell,they afflict the target on its return to life.Th is spell closes all m ortal w ou n ds and restores anym issin g body parts.Com in g ba ck from the dead is an ordeal. Th e targettakes a -4 pen alty to all attack rolls, saving throws, andability ch ecks. Every tim e the target fin ish es a lon g rest,the pen alty is redu ced by 1 until it disappears.Casting th is spell to restore life to a creatu re that hasbeen dead for on e year or lon ger taxes you greatly. Untilyou finish a lon g rest, you ca n t cast spells again, andyou have disadvantage on all attack rolls, ability ch ecks,and saving throws.
AuraofVitality;3;evocation;-;1 action;-;self;V;-;1 minutes;-;H ealin g en ergy radiates from you in an aura with aH ealin g en ergy radiates from you in an aura with a30-foot radius. Until the spell ends, the aura m oves withyou, cen tered on you. You ca n u se a bon u s action toca u se on e creatu re in the aura (in cluding you) to regain2d6 hit points.
ZoneofTruth;2;enchantment;-;1 action;-;60 feet;V,S;-;10 minutes;-;-
SilentImage;1;illusion;-;1 action;-;60 feet;V,S,M;a bit of fleece;concentration;['Duration: Con centration ', ' up to 10 m inutes'];You create the im age of an object, a creature, or som eYou create the im age of an object, a creature, or som eoth er visible ph en om en on that is n o larger than a 15-footcube. Th e im age appears at a spot within ran ge andlasts for the duration. Th e im age is purely visual it isnta ccom pa n ied by sou n d, sm ell, or oth er sen sory effects.You can u se your action to ca u se the im age to m ove toany spot within range. As the im a ge ch a n ges location,you ca n alter its a ppearan ce so that its m ovem en tsappear natural for the im age. F or exam ple, if you createan im age of a creatu re and m ove it, you can alter theim age so that it appears to be walking.P h ysica l in teraction with the im age reveals it to be anillusion, beca u se th in gs ca n pa ss th rough it. A creatu rethat u ses its action to exa m in e the im age ca n determ inethat it is an illusion with a su ccessfu l Intelligence(Investigation) ch eck against you r spell save DC. If acrea tu re discern s the illusion for what it is, the creatu reca n see th rough the im age.
Tsunami;8;conjuration;-;1 minute;-;sight;V,S;-;concentration;['Duration: Con centration ', ' up to 6 rou n ds'];A wall of water sprin gs into existen ce at a poin t youA wall of water sprin gs into existen ce at a poin t youch oose within range. You can m ake the wall up to 300feet long, 300 feet high, and 50 feet thick. Th e wall lastsfor the duration.W h en the wall appears, each creatu re within its aream ust m ake a Stren gth saving throw. On a failed save,a creatu re takes 6 d10 blu dgeon in g dam age, or h a lf asm u ch da m age on a su ccessfu l save.At the start of each of your turns after the wallappears, the wall, alon g with any crea tu res in it, m oves50 feet away from you. An y H uge or sm aller creatu rein side the wall or w h ose spa ce the wall enters wh enit m oves m ust su cceed on a Stren gth saving th row ortake 5 d10 blu dgeon in g dam age. A crea tu re ca n takethis da m age on ly on ce per round. At the en d of the turn,the wa lls height is redu ced by 50 feet, and the dam agecrea tu res take from the spell on su bsequ en t rou n ds isredu ced by 1d10. Wh en the wall rea ch es 0 feet in height,the spell ends.A creatu re caught in the wall ca n m ove by swim m in g.Beca u se of the force of the wave, though, the creatu rem ust m ake a su ccessfu l Stren gth (Athletics) ch eckagainst your spell save DC in order to m ove at all. If itfails the ch eck, it ca n t m ove. A creatu re that m oves outof the area falls to the ground.
ChainLightning;6;evocation;-;1 action;-;150 feet;V,S,M;a bit of fur a piece of am ber,glass, or a crystal rod and th ree silver pins;instant;-;You crea te a bolt of ligh tn in g that a rcs toward a target ofYou crea te a bolt of ligh tn in g that a rcs toward a target ofyou r ch oice that you can see within range. Th ree boltsthen leap from that target to as m any as th ree oth ertargets, ea ch of wh ich m ust be with in 30 feet of the firsttarget. A target ca n be a crea tu re or an object and canbe targeted by on ly on e of the bolts.A target m ust m a ke a Dexterity saving throw. Th etarget takes 10d8 lightning da m age on a failed save, orh a lf as m u ch da m age on a su ccessfu l one.A t H igher L evels. W h en you cast this spell u sin ga spell slot of 7th level or higher, on e additional boltlea ps from the first target to an oth er target for ea ch slotlevel above 6th.
StormofVengeance;9;conjuration;-;1 action;-;sight;V,S;-;1 minutes;-;A ch u rn in g storm clou d form s, cen tered on a poin t youA ch u rn in g storm clou d form s, cen tered on a poin t youca n see and sprea din g to a radius of 360 feet. Lightningflash es in the area, thunder boom s, and stron g win dsroar. E ach crea tu re u nder the clou d (no m ore than 5,000feet ben eath the clou d) wh en it a ppears m ust m ake aConstitution saving throw. On a failed save, a creatureta kes 2d6 thunder da m age and becom es dea fen edfor 5 m inutes.E ach roun d you m aintain con cen tra tion on this spell,the storm pr odu ces additional effects on you r turn.Round 2. Acidic rain falls from the cloud.E ach crea tu re and object under the clou d takes1d6 acid dam age.R ound 3. You ca ll six bolts of lightning from theclou d to strike six crea tu res or objects of you r ch oiceben eath the clou d. A given creatu re or object ca n t bestru ck by m ore than on e bolt. A stru ck crea tu re mustm ake a Dexterity saving throw. Th e crea tu re takes10d6 lightning da m age on a failed save, or h a lf as m u chda m age on a su ccessfu l one.R ound 4. H ailston es rain down from thecloud. E a ch creatu re u nder the clou d takes 2d6blu dgeon in g dam age.R ound 5-10. Gusts and freezin g rain assa il thearea u nder the cloud. Th e area becom es difficultterrain and is heavily obscu red. E a ch creatu re theretakes 1d6 cold dam age. Ra n ged w ea pon attacks inthe area are im possible. Th e win d and rain cou n t asa severe distraction for the pu rposes of m aintainingcon cen tra tion on spells. Finally, gusts of stron g wind(ranging from 20 to 50 m iles per hour) autom aticallydisperse fog, m ists, and sim ilar ph en om en a in the area,wh eth er m u n dan e or m agical.
Banishment;4;abjuration;-;1 action;-;60 feet;V,S,M;an item distasteful to the target;1 minutes;-;You attem pt to sen d on e creatu re that you ca n seeYou attem pt to sen d on e creatu re that you ca n seewithin ran ge to another plane of existen ce. Th etarget m ust su cceed on a Ch arism a saving th rowor be banish ed.If the target is native to the plane of existen ce you reon, you banish the target to a h a rm less dem iplane.W h ile there, the target is in capacitated. Th e targetrem ain s there until the spell ends, at wh ich point thetarget reappea rs in the spa ce it left or in the n earestu n occu pied spa ce if that spa ce is occu pied.If the target is native to a different plane of existen cethan the on e you re on, the target is ba n ish ed witha faint poppin g n oise, retu rn in g to its h om e plane.If the spell en ds before 1 m inute h as pa ssed, thetarget rea ppea rs in the spa ce it left or in the n earestu n occu pied spa ce if that spa ce is occu pied. Oth erwise,the target doesn t return.A t H igher L evels. W h en you cast this spell u singa spell slot of 5th level or higher, you ca n target on eadditional crea tu re for ea ch slot level above 4th.
